Close,Date,High,Low,Open,Volume
1.14069,2015-09-18T01:00:00.000000000Z,1.14116,1.13962,1.1404,2555
1.14046,2015-09-18T03:00:00.000000000Z,1.14106,1.13914,1.14066,917
1.13968,2015-09-18T05:00:00.000000000Z,1.14135,1.13954,1.14049,2470
1.14489,2015-09-18T07:00:00.000000000Z,1.14528,1.13965,1.13965,5001
1.14243,2015-09-18T09:00:00.000000000Z,1.14602,1.14207,1.14486,3885
1.14228,2015-09-18T11:00:00.000000000Z,1.14396,1.14102,1.14246,4013
1.13706,2015-09-18T13:00:00.000000000Z,1.14297,1.13681,1.14224,6073
1.13666,2015-09-18T15:00:00.000000000Z,1.13786,1.13505,1.13708,3402
1.13522,2015-09-18T17:00:00.000000000Z,1.13676,1.13463,1.13669,2032
1.13006,2015-09-18T19:00:00.000000000Z,1.13537,1.12693,1.13524,4950
1.12944,2015-09-20T21:00:00.000000000Z,1.12973,1.12821,1.1284,1524
1.13057,2015-09-20T23:00:00.000000000Z,1.1307,1.12832,1.12941,1242
1.13097,2015-09-21T01:00:00.000000000Z,1.13146,1.13029,1.13057,1190
1.12944,2015-09-20T21:00:00.000000000Z,1.12973,1.12821,1.1284,1524
1.13057,2015-09-20T23:00:00.000000000Z,1.1307,1.12832,1.12941,1242
1.13097,2015-09-21T01:00:00.000000000Z,1.13146,1.13029,1.13057,1190
1.13147,2015-09-21T03:00:00.000000000Z,1.1322,1.13036,1.131,747
1.13028,2015-09-21T05:00:00.000000000Z,1.13201,1.12887,1.13144,2515
1.12973,2015-09-21T07:00:00.000000000Z,1.13303,1.12953,1.13032,4110
